timestamp,distance_raw_m,angle_raw,x_m,y_m
2026-03-24T14:12:23.820227,2.24,51,0.46,2.14
2026-03-24T14:12:23.892264,2.15,24,0.44,2.14
2026-03-24T14:12:23.904173,2.22,39,0.44,2.14
2026-03-24T14:12:30.108227,2.16,24,0.45,2.14
2026-03-24T14:12:30.120196,2.25,38,0.45,2.14
2026-03-24T14:12:30.168213,2.23,28,0.45,2.15
2026-03-24T14:12:30.186196,2.18,35,0.45,2.15
2026-03-24T14:12:30.198061,2.17,22,0.45,2.15
2026-03-24T14:12:30.210052,2.23,35,0.46,2.15
2026-03-24T14:12:30.221929,2.16,36,0.46,2.15
2026-03-24T14:12:30.270083,2.19,30,0.46,2.15
2026-03-24T14:12:30.281901,2.17,38,0.46,2.14
2026-03-24T14:12:30.312380,2.19,34,0.46,2.14
2026-03-24T14:12:36.336338,2.19,33,0.41,2.17
2026-03-24T14:12:36.384321,2.2,37,0.43,2.17
2026-03-24T14:12:36.420500,2.2,29,0.41,2.17
2026-03-24T14:12:36.432608,2.21,14,0.41,2.17
2026-03-24T14:12:36.444086,2.15,26,0.41,2.17
2026-03-24T14:12:36.461989,2.2,30,0.41,2.16
2026-03-24T14:12:36.522023,2.25,36,0.41,2.16
2026-03-24T14:12:36.534172,2.24,22,0.41,2.16
2026-03-24T14:12:36.557985,2.22,33,0.41,2.17
2026-03-24T14:12:36.570172,2.15,26,0.41,2.17
2026-03-24T14:12:42.696174,2.21,29,0.45,2.16
2026-03-24T14:12:42.708046,2.19,26,0.45,2.15
2026-03-24T14:12:42.732130,2.21,32,0.45,2.15
2026-03-24T14:12:42.744128,2.24,20,0.44,2.15
2026-03-24T14:12:42.762231,2.14,33,0.45,2.15
2026-03-24T14:12:42.810111,2.19,43,0.45,2.15
2026-03-24T14:12:42.834070,2.18,42,0.46,2.15
2026-03-24T14:12:42.846136,2.19,31,0.45,2.15
2026-03-24T14:12:42.858147,2.19,38,0.45,2.15
2026-03-24T14:12:42.888198,2.21,42,0.46,2.15
2026-03-24T14:12:49.038397,2.17,36,0.46,2.14
2026-03-24T14:12:49.050360,2.18,33,0.46,2.13
2026-03-24T14:12:49.110408,2.18,20,0.46,2.13
2026-03-24T14:12:49.122369,2.24,23,0.46,2.13
2026-03-24T14:12:49.176352,2.19,52,0.46,2.13
2026-03-24T14:12:49.188208,2.19,45,0.46,2.13
2026-03-24T14:12:49.200564,2.22,31,0.46,2.14
2026-03-24T14:12:49.212672,2.21,29,0.46,2.14
2026-03-24T14:12:49.224575,2.17,32,0.46,2.13
2026-03-24T14:12:49.272413,2.17,37,0.46,2.13
2026-03-24T14:12:55.296548,2.17,38,0.45,2.16
2026-03-24T14:12:55.308962,2.18,39,0.45,2.16
2026-03-24T14:12:55.320546,2.19,33,0.45,2.16
2026-03-24T14:12:55.368780,2.22,29,0.45,2.16
2026-03-24T14:12:55.386783,2.24,35,0.46,2.16
2026-03-24T14:12:55.398683,2.22,35,0.46,2.16
2026-03-24T14:12:55.410785,2.2,45,0.47,2.16
2026-03-24T14:12:55.422774,2.19,45,0.49,2.16
2026-03-24T14:12:55.470455,2.25,40,0.49,2.16
2026-03-24T14:12:55.482280,2.21,18,0.49,2.16
2026-03-24T14:13:01.470599,2.22,28,0.41,2.17
2026-03-24T14:13:01.482456,2.2,37,0.41,2.17
2026-03-24T14:13:01.542594,2.18,35,0.42,2.17
2026-03-24T14:13:01.560454,2.16,28,0.41,2.17
2026-03-24T14:13:01.572483,2.18,17,0.4,2.17
2026-03-24T14:13:01.608517,2.18,29,0.4,2.17
2026-03-24T14:13:01.620623,2.25,31,0.4,2.17
2026-03-24T14:13:01.668464,2.22,26,0.4,2.17
2026-03-24T14:13:01.698536,2.22,39,0.4,2.17
2026-03-24T14:13:01.710461,2.22,35,0.4,2.17
2026-03-24T14:13:07.842650,2.16,43,0.42,2.15
2026-03-24T14:13:07.908649,2.2,41,0.42,2.15
2026-03-24T14:13:07.920604,2.23,18,0.42,2.15
2026-03-24T14:13:07.932682,2.22,19,0.42,2.15
2026-03-24T14:13:07.944677,2.23,20,0.42,2.15
2026-03-24T14:13:07.956646,2.23,39,0.42,2.15
2026-03-24T14:13:08.022617,2.2,30,0.42,2.15
2026-03-24T14:13:08.034627,2.23,24,0.42,2.15
2026-03-24T14:13:08.046558,2.21,35,0.42,2.15
2026-03-24T14:13:08.058579,2.24,30,0.42,2.15
2026-03-24T14:13:14.262612,2.18,18,0.42,2.15
2026-03-24T14:13:14.292900,2.19,17,0.41,2.16
2026-03-24T14:13:14.316705,2.2,33,0.42,2.16
2026-03-24T14:13:14.328694,2.17,35,0.43,2.16
2026-03-24T14:13:14.340650,2.22,29,0.43,2.16
2026-03-24T14:13:14.406888,2.22,33,0.43,2.16
2026-03-24T14:13:14.418831,2.18,28,0.43,2.16
2026-03-24T14:13:14.442844,2.19,35,0.44,2.16
2026-03-24T14:13:14.454807,2.18,29,0.44,2.15
2026-03-24T14:13:14.478582,2.18,21,0.43,2.15
2026-03-24T14:13:20.802922,2.2,47,0.49,2.15
2026-03-24T14:13:20.814840,2.18,42,0.5,2.15
2026-03-24T14:13:20.827223,2.19,42,0.52,2.15
2026-03-24T14:13:20.839230,2.2,33,0.52,2.15
2026-03-24T14:13:20.893246,2.16,31,0.52,2.15
2026-03-24T14:13:20.917095,2.16,27,0.5,2.15
2026-03-24T14:13:20.929375,2.15,33,0.5,2.15
2026-03-24T14:13:20.940932,2.21,24,0.5,2.15
2026-03-24T14:13:20.977176,2.23,36,0.5,2.15
2026-03-24T14:13:21.042844,2.19,37,0.51,2.15
