timestamp,distance_raw_m,angle_raw,x_m,y_m
2026-03-24T14:09:30.644025,2.23,10,0.3,2.19
2026-03-24T14:09:30.710068,2.23,13,0.28,2.19
2026-03-24T14:09:30.734226,2.22,36,0.3,2.19
2026-03-24T14:09:30.758110,2.15,12,0.29,2.19
2026-03-24T14:09:30.770075,2.2,13,0.29,2.19
2026-03-24T14:09:30.805993,2.22,18,0.27,2.19
2026-03-24T14:09:30.854061,2.2,21,0.27,2.19
2026-03-24T14:09:30.872063,2.19,16,0.27,2.19
2026-03-24T14:09:30.883693,2.15,19,0.27,2.19
2026-03-24T14:09:30.919754,2.22,24,0.28,2.19
2026-03-24T14:09:30.943835,2.23,23,0.28,2.2
2026-03-24T14:09:30.991873,2.22,17,0.28,2.2
2026-03-24T14:09:31.021804,2.22,28,0.28,2.2
2026-03-24T14:09:31.045836,2.23,26,0.28,2.2
2026-03-24T14:09:31.070121,2.25,12,0.27,2.2
2026-03-24T14:09:31.082118,2.17,12,0.26,2.2
2026-03-24T14:09:31.130293,2.21,19,0.26,2.2
2026-03-24T14:09:31.141934,2.19,26,0.27,2.2
2026-03-24T14:09:31.159822,2.19,10,0.26,2.2
2026-03-24T14:09:31.171886,2.19,23,0.27,2.19
2026-03-24T14:09:31.232305,2.18,25,0.27,2.19
2026-03-24T14:09:31.274038,2.21,22,0.26,2.19
2026-03-24T14:09:31.285816,2.18,20,0.27,2.19
2026-03-24T14:09:31.333973,2.16,16,0.26,2.19
2026-03-24T14:09:31.345743,2.17,11,0.25,2.19
2026-03-24T14:09:31.357717,2.2,18,0.25,2.19
2026-03-24T14:09:31.370382,2.16,18,0.25,2.18
2026-03-24T14:09:31.399969,2.23,24,0.26,2.18
2026-03-24T14:09:31.711782,2.17,7,0.28,2.17
2026-03-24T14:09:31.813964,2.2,6,0.28,2.17
2026-03-24T14:09:32.053727,2.22,9,0.3,2.17
2026-03-24T14:09:35.863970,2.18,26,0.35,2.17
2026-03-24T14:09:35.887924,2.22,28,0.35,2.17
2026-03-24T14:09:35.923818,2.19,30,0.35,2.17
