timestamp,distance_raw_m,angle_raw,x_m,y_m
2026-03-24T14:25:00.928978,2.05,8,-0.01,2.06
2026-03-24T14:25:00.940902,2.07,6,-0.01,2.06
2026-03-24T14:25:01.876890,2.09,5,0.0,2.09
2026-03-24T14:25:01.900948,2.09,5,0.0,2.09
2026-03-24T14:25:01.949079,2.05,4,0.0,2.09
2026-03-24T14:25:01.985180,2.09,0,0.0,2.09
2026-03-24T14:25:02.099030,2.11,1,0.01,2.09
2026-03-24T14:25:02.153111,2.06,0,0.01,2.09
2026-03-24T14:25:02.315100,2.16,0,0.0,2.07
2026-03-24T14:25:02.362959,2.03,0,0.0,2.07
2026-03-24T14:25:02.705098,1.98,1,0.0,2.01
2026-03-24T14:25:03.010961,2.09,5,0.0,2.02
2026-03-24T14:25:03.023060,2.16,2,0.0,2.02
2026-03-24T14:25:03.106896,2.2,1,0.0,2.02
2026-03-24T14:25:03.197047,2.14,0,0.0,2.05
2026-03-24T14:25:06.875409,2.21,2,-0.06,2.21
2026-03-24T14:25:06.887252,2.15,0,-0.05,2.21
2026-03-24T14:25:08.267223,2.03,9,0.0,2.14
2026-03-24T14:25:08.302855,2.15,6,0.01,2.14
2026-03-24T14:25:13.457396,1.92,-1,0.07,1.91
2026-03-24T14:25:13.559156,2.01,16,0.08,1.91
2026-03-24T14:25:13.649391,1.95,18,0.08,1.91
2026-03-24T14:25:13.799376,1.88,16,0.08,1.9
2026-03-24T14:25:13.901153,1.92,-1,0.07,1.91
2026-03-24T14:25:13.997214,1.91,4,0.06,1.91
2026-03-24T14:25:14.099245,1.9,4,0.05,1.91
2026-03-24T14:25:14.135283,1.9,2,0.04,1.91
2026-03-24T14:25:14.183319,1.91,4,0.04,1.91
2026-03-24T14:25:14.225623,1.92,0,0.03,1.92
2026-03-24T14:25:14.249374,1.92,2,0.02,1.91
2026-03-24T14:25:14.411387,1.89,2,0.01,1.91
2026-03-24T14:25:14.477286,1.92,0,0.02,1.91
2026-03-24T14:25:14.525372,1.92,3,0.02,1.91
2026-03-24T14:25:14.591233,1.91,0,0.0,1.91
2026-03-24T14:25:14.639363,1.92,3,0.0,1.91
2026-03-24T14:25:14.675345,1.9,3,0.01,1.91
2026-03-24T14:25:14.753280,1.95,5,0.02,1.92
2026-03-24T14:25:14.777289,1.95,0,0.02,1.92
2026-03-24T14:25:14.789339,1.91,1,0.02,1.92
2026-03-24T14:25:14.807169,1.93,0,0.02,1.92
2026-03-24T14:25:14.879420,1.91,8,0.02,1.92
2026-03-24T14:25:14.903459,1.94,7,0.02,1.92
2026-03-24T14:25:14.957230,1.95,0,0.02,1.92
2026-03-24T14:25:14.993176,1.9,1,0.02,1.92
2026-03-24T14:25:15.053038,1.91,1,0.02,1.92
2026-03-24T14:25:15.083003,1.94,0,0.02,1.92
2026-03-24T14:25:15.107207,1.96,0,0.02,1.92
2026-03-24T14:25:15.167282,1.92,0,0.02,1.92
2026-03-24T14:25:15.185178,1.91,9,0.02,1.92
2026-03-24T14:25:15.209206,1.91,0,0.02,1.92
2026-03-24T14:25:15.269420,1.93,4,0.02,1.92
2026-03-24T14:25:15.359152,1.93,4,0.02,1.93
2026-03-24T14:25:15.383191,1.91,7,0.02,1.92
2026-03-24T14:25:15.448868,1.96,2,0.02,1.93
2026-03-24T14:25:15.508906,1.94,4,0.03,1.93
2026-03-24T14:25:15.556920,1.95,2,0.03,1.93
2026-03-24T14:25:15.586874,1.94,1,0.03,1.93
2026-03-24T14:25:15.610932,1.93,8,0.03,1.93
2026-03-24T14:25:16.895287,1.93,4,0.03,1.93
2026-03-24T14:25:16.919178,1.94,1,0.03,1.93
2026-03-24T14:25:17.141553,1.96,4,0.04,1.93
2026-03-24T14:25:17.153262,1.93,6,0.04,1.93
2026-03-24T14:25:18.442779,1.94,2,0.03,1.93
2026-03-24T14:25:18.509161,2.01,7,0.04,1.93
2026-03-24T14:25:18.695275,1.99,3,0.03,1.94
2026-03-24T14:25:18.761370,1.96,2,0.03,1.94
2026-03-24T14:25:18.809422,1.95,4,0.03,1.94
2026-03-24T14:25:18.845234,1.97,0,0.03,1.94
2026-03-24T14:25:22.192874,1.97,25,0.03,1.98
2026-03-24T14:25:22.205211,1.97,18,0.03,1.97
2026-03-24T14:25:22.252927,1.94,11,0.03,1.97
2026-03-24T14:25:22.264970,1.99,-7,0.03,1.97
2026-03-24T14:25:22.282980,1.98,-6,0.03,1.97
2026-03-24T14:25:22.306977,1.96,-7,0.03,1.97
2026-03-24T14:25:22.378894,1.97,-1,0.02,1.97
2026-03-24T14:25:22.456945,2.01,8,0.03,1.96
2026-03-24T14:25:22.468949,1.94,6,0.03,1.96
2026-03-24T14:25:22.480803,1.97,6,0.03,1.96
2026-03-24T14:25:22.558855,1.96,7,0.05,1.96
2026-03-24T14:25:22.672993,1.99,7,0.02,1.96
2026-03-24T14:25:22.786933,1.94,0,0.0,1.96
2026-03-24T14:25:22.798886,1.99,9,0.0,1.96
2026-03-24T14:25:22.810826,1.96,9,0.0,1.96
2026-03-24T14:25:22.961100,1.98,0,0.0,1.97
2026-03-24T14:25:22.985234,1.98,7,0.0,1.97
2026-03-24T14:25:23.015090,1.96,5,0.0,1.97
2026-03-24T14:25:23.189091,1.99,7,0.0,1.98
2026-03-24T14:25:23.201159,2.0,1,0.0,1.98
2026-03-24T14:25:23.212925,2.03,6,0.0,1.98
2026-03-24T14:25:23.266899,1.97,9,0.0,1.98
2026-03-24T14:25:23.290970,2.02,1,0.0,1.98
2026-03-24T14:25:23.404985,1.96,1,0.0,1.98
2026-03-24T14:25:23.476984,2.0,7,0.01,1.98
2026-03-24T14:25:23.494998,1.98,4,0.02,1.98
2026-03-24T14:25:23.506881,2.0,0,0.02,1.98
2026-03-24T14:25:23.519118,1.99,5,0.03,1.98
2026-03-24T14:25:23.621191,2.04,2,0.02,1.99
2026-03-24T14:25:23.771161,2.0,0,0.0,2.0
2026-03-24T14:25:23.783020,1.96,6,0.0,1.99
2026-03-24T14:25:23.795000,1.99,5,0.0,1.99
2026-03-24T14:25:23.819501,2.0,0,0.0,1.99
2026-03-24T14:25:23.873355,1.99,0,0.0,1.99
2026-03-24T14:25:23.885368,1.97,8,0.0,1.99
2026-03-24T14:25:23.909258,1.98,5,0.0,1.99
2026-03-24T14:25:23.921466,1.99,2,0.0,1.99
2026-03-24T14:25:23.987164,2.0,1,0.0,1.99
2026-03-24T14:25:23.998972,1.98,3,0.0,1.99
2026-03-24T14:25:24.010951,1.96,8,0.0,1.99
2026-03-24T14:25:24.022991,2.0,2,0.0,1.99
2026-03-24T14:25:24.083055,2.0,8,0.0,1.99
2026-03-24T14:25:24.173025,1.96,4,0.0,1.99
2026-03-24T14:25:51.197056,1.94,8,-0.06,2.01
2026-03-24T14:25:51.209107,1.99,5,-0.06,2.01
2026-03-24T14:25:51.371012,2.03,0,-0.07,2.02
2026-03-24T14:26:10.709087,0.66,6,-0.19,0.67
2026-03-24T14:26:10.721139,0.71,1,-0.18,0.67
